seller tape,Servicer,asset_hub_id,source,asis_value,arv_value,value_date,rehab_est_total,roof_est,kitchen_est,bath_est,flooring_est,windows_est,appliances_est,plumbing_est,electrical_est,landscaping_est,notes,links
352-6871867,713338,1101,Broker,720000,820000,10/6/2024,  ,,,,,,,,,,A rated Public Schools,
495-9035209,713541,1102,Broker,250000,250000,10/6/2024,  ,,,,,,,,,,,
043-7265343,713662,1103,Broker,499000,650000,10/11/2024,  ,,,,,,,,,,,
095-1364889,713233,1104,Broker,550000,850000,10/3/2024,"200,000.00",,,,,,,,,,,
043-7334245,713079,1105,Broker,300000,550000,10/12/2024,,,,,,,,,,,,
044-4259875,713675,1106,Broker,550000,590000,9/30/2024,"23,500.00",,,,,,,,,,,
446-1448277,713710,1107,Broker,499000,525000,10/2/2024, -   ,,,,,,,,,,1/0/1900,
541-8557612,713561,1108,Broker,279000,339000,9/29/2024,"49,000.00",,,,,,,,,,,
441-7898202,713480,1109,Broker,105000,165000,10/2/2024,,,,,,,,,,,,
387-1330687,713635,1110,Broker,300000,369000,10/7/2024,"10,000.00",,,,,,,,,,,
061-4104900,713192,1111,Broker,400000,600000,9/23/2024,"150,000.00",,,,,,,,,,,
045-6384002,713101,1112,Broker,420000,465000,,  ,,,,,,,,,,,
045-6379287,713091,1113,Broker,325000,400000,,,,,,,,,,,, Golf course backyard ,
045-6375437,713084,1114,Broker,360000,410000,,,,,,,,,,,,,
061-3997390,713185,1115,Broker,400000,550000,10/1/2024,"60,000.00",,,,,,,,,,,
241-9619763,713295,1116,Broker,689000,850000,10/2/2024,"12,000.00",,,,,,,,,, 11 acres ,
249-5028362,713309,1117,Broker,460000,525000,10/2/2024,,,,,,,,,,," Vacant, no lockbox, can't view inside ",
061-2814664,713130,1118,Broker,265000,435000,10/1/2024,"100,000.00",,,,,,,,,, Pending sale at 349k list price ,
495-8175668,713534,1119,Broker,325000,350000,10/6/2024,"25,000.00",,,,,,,,,,,
431-5411229,713642,1120,Broker,540000,,10/11/2024,,,,,,,,,,,,
042-7961021,713066,1121,Broker,385000,415000,10/11/2024,,,,,,,,,,,,
374-5456341,713406,1122,Broker,700000,800000,10/1/2024,"50,000.00",,,,,,,,,,,
061-3375785,713574,1123,Broker,300000,525000,10/1/2024,"100,000.00",,,,,,,,,,,
061-3829245,713170,1124,Broker,350000,500000,9/23/2024,"100,000.00",,,,,,,,,,,
381-9124538,713620,1125,Broker,385000,420000,10/7/2024,"15,000.00",,,,,,,,,,,
352-7517491,713345,1126,Broker,335000,445000,10/6/2024,,,,,,,,,,,,
374-6332436,713435,1127,Broker,525000,700000,10/1/2024,"75,000.00",,,,,,,,,,,
011-6078210,713055,1128,Broker,275000,415000,10/7/2024,"105,000.00",,,,,,,,,,,
197-3555190,713288,1129,Broker,400000,525000,9/28/2024,  ,,,,,,,,,,HUD BPO uses comps 6-7 miles away,
045-6385536,713112,1130,Broker,,,,  ,,,,,,,,,,4.6 acres priced at land value,
105-5732808,713259,1131,Broker,390000,430000,9/30/2024,"35,000.00",,,,,,,,,,,
061-2829777,713680,1132,Broker,400000,625000,10/1/2024,"90,000.00",,,,,,,,,,,
061-4497782,713738,1133,Broker,650000,1000000,10/1/2024,"150,000.00",,,,,,,,,,,
052-6078691,713125,1134,Broker,,,,,,,,,,,,,,,
105-4510523,713240,1135,Broker,300000,310000,9/30/2024,"10,000.00",,,,,,,,,,,
137-6079284,713260,1136,Broker,450000,525000,10/10/2024,"50,000.00",,,,,,,,,," Neighbor at 657 Edelweiss sold in Sept 2024 for $400k, but is smaller in interior size by 1,200 sq ft.  ",
321-2763060,713323,1137,Broker,,,,,,,,,,,,,,  ,
441-9025348,713497,1069,internalInitialUW,475000,550000,10/13/2024,  ,,,,,,,,,,  ,
387-1050331,713462,1070,internalInitialUW,599000,,10/13/2024,,,,,,,,,,,,
374-5419956,713390,1071,internalInitialUW,550000,645000,10/13/2024,"60,000.00",,,,,,,,,,,
061-3099124,713156,1072,internalInitialUW,340000,480000,10/13/2024,"75,000.00",,,,,,,,,,,
387-0202863,713442,1073,internalInitialUW,320000,,10/13/2024,,,,,,,,,,,,
161-3261577,713723,1074,internalInitialUW,225000,375000,10/13/2024,,,,,,,,,,,,
541-6502508,713550,1075,internalInitialUW,375000,475000,10/13/2024,"55,000.00",,,,,,,,,,,
441-9394720,713505,1076,internalInitialUW,255000,325000,10/13/2024,  ,,,,,,,,,,,
352-5976251,713596,1077,internalInitialUW,375000,500000,10/13/2024,,,,,,,,,,,,
095-0277699,713228,1078,internalInitialUW,455000,545000,10/13/2024,"30,000.00",,,,,,,,,,,
387-0478524,713451,1079,internalInitialUW,350000,,10/13/2024,,,,,,,,,,,,
511-0492900,713651,1080,internalInitialUW,300000,525000,10/13/2024,"100,000.00",,,,,,,,,,,
441-7859720,713475,1081,internalInitialUW,215000,250000,10/13/2024,,,,,,,,,,,,
361-3840640,713606,1082,internalInitialUW,124000,,10/13/2024,,,,,,,,,,,,
081-0888019,713204,1083,internalInitialUW,825000,1125000,10/13/2024,"125,000.00",,,,,,,,,,,
374-6028705,713417,1084,internalInitialUW,1200000,1450000,10/13/2024,"165,000.00",,,,,,,,,,,
061-3502718,713167,1085,internalInitialUW,425000,600000,10/13/2024,"85,000.00",,,,,,,,,,,
361-3889683,713709,1086,internalInitialUW,290000,,10/13/2024,,,,,,,,,,,,
492-7447885,713529,1087,internalInitialUW,299000,,10/13/2024,,,,,,,,,,,,
352-7644396,713365,1088,internalInitialUW,675000,775000,10/13/2024,,,,,,,,,,,,
352-7556387,713354,1089,internalInitialUW,425000,,10/13/2024,,,,,,,,,,,,
332-4750321,713589,1090,internalInitialUW,455000,499000,10/13/2024,"10,000.00",,,,,,,,,,,
141-1549250,713273,1091,internalInitialUW,665000,799500,10/13/2024,"75,000.00",,,,,,,,,,,
451-0883140,713516,1092,internalInitialUW,315000,375000,10/13/2024,"20,000.00",,,,,,,,,,,
361-2921441,713378,1093,internalInitialUW,365276,,10/13/2024,,,,,,,,,,,,
249-5030025,713310,1094,internalInitialUW,400000,500000,10/13/2024,"40,000.00",,,,,,,,,,,
374-6245518,713617,1095,internalInitialUW,805000,1200000,10/13/2024,"115,000.00",,,,,,,,,,,
081-0898176,713215,1096,internalInitialUW,875000,,10/13/2024,,,,,,,,,,,,
061-2891462,713147,1097,internalInitialUW,315000,430000,10/13/2024,,,,,,,,,,,,
374-6066177,713420,1098,internalInitialUW,800000,1000000,10/13/2024,"75,000.00",,,,,,,,,,,
374-4516715,713383,1099,internalInitialUW,625000,795000,10/13/2024,"85,000.00",,,,,,,,,,,
441-7373212,713697,1100,internalInitialUW,375000,495000,10/13/2024,  ,,,,,,,,,,,
352-6871867,713338,1101,internalInitialUW,735000,850000,10/13/2024,  ,,,,,,,,,,,
495-9035209,713541,1102,internalInitialUW,255000,350000,10/13/2024,  ,,,,,,,,,,,
043-7265343,713662,1103,internalInitialUW,449000,575000,10/13/2024,"45,000.00",,,,,,,,,,,
095-1364889,713233,1104,internalInitialUW,390000,650000,10/13/2024,"125,000.00",,,,,,,,,,,
043-7334245,713079,1105,internalInitialUW,475000,595000,10/13/2024,"25,000.00",,,,,,,,,,,
044-4259875,713675,1106,internalInitialUW,535000,595000,10/13/2024,  ,,,,,,,,,,,
446-1448277,713710,1107,internalInitialUW,475000,525000,10/13/2024,,,,,,,,,,,,
541-8557612,713561,1108,internalInitialUW,245000,325000,10/13/2024,"65,000.00",,,,,,,,,,,
441-7898202,713480,1109,internalInitialUW,100000,175000,10/13/2024,,,,,,,,,,,,
387-1330687,713635,1110,internalInitialUW,250000,325000,10/13/2024,,,,,,,,,,,,
061-4104900,713192,1111,internalInitialUW,425000,600000,10/13/2024,,,,,,,,,,,,
045-6384002,713101,1112,internalInitialUW,420000,525000,10/13/2024,"55,000.00",,,,,,,,,,,
045-6379287,713091,1113,internalInitialUW,325000,405000,10/13/2024,,,,,,,,,,,,
045-6375437,713084,1114,internalInitialUW,325000,390000,10/13/2024,"35,000.00",,,,,,,,,,,
061-3997390,713185,1115,internalInitialUW,400000,550000,10/13/2024,,,,,,,,,,,,
241-9619763,713295,1116,internalInitialUW,625000,,10/13/2024,,,,,,,,,,,,
249-5028362,713309,1117,internalInitialUW,440000,525000,10/13/2024,,,,,,,,,,,,
061-2814664,713130,1118,internalInitialUW,325000,435000,10/13/2024,,,,,,,,,,,,
495-8175668,713534,1119,internalInitialUW,325000,419000,10/13/2024,"25,000.00",,,,,,,,,,,
431-5411229,713642,1120,internalInitialUW,540000,,10/13/2024,,,,,,,,,,,,
042-7961021,713066,1121,internalInitialUW,375000,395000,10/13/2024,,,,,,,,,,,,
374-5456341,713406,1122,internalInitialUW,625000,725000,10/13/2024,,,,,,,,,,,,
061-3375785,713574,1123,internalInitialUW,300000,495000,10/13/2024,"75,000.00",,,,,,,,,,,
061-3829245,713170,1124,internalInitialUW,330000,475000,10/13/2024,,,,,,,,,,,,
381-9124538,713620,1125,internalInitialUW,375000,415000,10/13/2024,,,,,,,,,,,,
352-7517491,713345,1126,internalInitialUW,395000,600000,10/13/2024,,,,,,,,,,,,
374-6332436,713435,1127,internalInitialUW,415000,560000,10/13/2024,"65,000.00",,,,,,,,,,,
011-6078210,713055,1128,internalInitialUW,275000,,10/13/2024,,,,,,,,,,,,
197-3555190,713288,1129,internalInitialUW,425000,525000,10/13/2024,"60,000.00",,,,,,,,,,,
045-6385536,713112,1130,internalInitialUW,250000,295000,10/13/2024,  ,,,,,,,,,,,
105-5732808,713259,1131,internalInitialUW,375000,,10/13/2024,,,,,,,,,,,,
061-2829777,713680,1132,internalInitialUW,400000,625000,10/13/2024,,,,,,,,,,,,
061-4497782,713738,1133,internalInitialUW,675000,1000000,10/13/2024,"100,000.00",,,,,,,,,,,
052-6078691,713125,1134,internalInitialUW,495000,575000,10/13/2024,,,,,,,,,,,,
105-4510523,713240,1135,internalInitialUW,285000,310000,10/13/2024,  ,,,,,,,,,,,
137-6079284,713260,1136,internalInitialUW,450000,525000,10/13/2024,"50,000.00",,,,,,,,,,,
321-2763060,713323,1137,internalInitialUW,425000,,10/13/2024,,,,,,,,,,,,
